Rank,Video_Filename,Action_Category,BERTScore_F1,Feature_CosSim,CLIPScore_Change,Attack_Quality,PSNR_dB
1,running_JGwWNGJdvx8_010.mp4,running,0.2946,0.5118,-2.5,Excellent,28.3
2,running_JGwWNGJdvx8_008.mp4,running,0.2946,0.5118,-2.5,Excellent,28.3
3,running_JGwWNGJdvx8_007.mp4,running,0.2946,0.5118,-2.5,Excellent,28.3
4,running_JGwWNGJdvx8_005.mp4,running,0.2946,0.5118,-2.5,Excellent,28.3
5,riding_bike_RgKAFK5djSk_031.mp4,riding,0.3696,0.557,-0.020000000000000018,Excellent,27.42
6,riding_bike_RgKAFK5djSk_018.mp4,riding,0.3696,0.557,-0.020000000000000018,Excellent,27.42
7,riding_bike_RgKAFK5djSk_001.mp4,riding,0.3696,0.557,-0.020000000000000018,Excellent,27.42
8,riding_bike_RgKAFK5djSk_013.mp4,riding,0.3696,0.557,-0.020000000000000018,Excellent,27.42
9,walking_L_jWHffIx5E_007.mp4,walking,0.4228,0.5486,3.0900000000000007,Excellent,27.67
10,walking_L_jWHffIx5E_004.mp4,walking,0.4228,0.5486,3.0900000000000007,Excellent,27.67
11,walking_L_jWHffIx5E_047.mp4,walking,0.4228,0.5486,3.0900000000000007,Excellent,27.67
12,walking_L_jWHffIx5E_006.mp4,walking,0.4228,0.5486,3.0900000000000007,Excellent,27.67
13,playing_football_hTWKbfoikeg_049.mp4,playing,0.4765,0.4947,4.32,Excellent,27.73
14,playing_football_hTWKbfoikeg_017.mp4,playing,0.4765,0.4947,4.32,Excellent,27.73
15,playing_football_hTWKbfoikeg_011.mp4,playing,0.4765,0.4947,4.32,Excellent,27.73
16,jumping_jNQXAC9IVRw_002.mp4,jumping,0.4961,0.5065,4.19,Excellent,26.66
17,jumping_jNQXAC9IVRw_000.mp4,jumping,0.4961,0.5065,4.19,Excellent,26.66
18,jumping_jNQXAC9IVRw_025.mp4,jumping,0.4961,0.5065,4.19,Excellent,26.66
19,swimming_CevxZvSJLk8_048.mp4,swimming,0.5206,0.4842,-2.07,Good,27.12
20,swimming_CevxZvSJLk8_029.mp4,swimming,0.5206,0.4842,-2.07,Good,27.12
21,swimming_CevxZvSJLk8_027.mp4,swimming,0.5206,0.4842,-2.07,Good,27.12
22,singing_YQHsXMglC9A_000.mp4,singing,0.5285,0.4833,0.4900000000000002,Good,27.28
23,singing_YQHsXMglC9A_028.mp4,singing,0.5285,0.4833,0.4900000000000002,Good,27.28
24,singing_YQHsXMglC9A_033.mp4,singing,0.5285,0.4833,0.4900000000000002,Good,27.28
25,singing_YQHsXMglC9A_046.mp4,singing,0.5285,0.4833,0.4900000000000002,Good,27.28
26,playing_guitar_fJ9rUzIMcZQ_004.mp4,playing,0.5288,0.5614,1.04,Good,27.73
27,playing_guitar_fJ9rUzIMcZQ_040.mp4,playing,0.5288,0.5614,1.04,Good,27.73
28,playing_guitar_fJ9rUzIMcZQ_021.mp4,playing,0.5288,0.5614,1.04,Good,27.73
29,playing_guitar_fJ9rUzIMcZQ_042.mp4,playing,0.5288,0.5614,1.04,Good,27.73
30,playing_basketball_dMH0bHeiRNg_036.mp4,playing,0.5336,0.5569,0.40000000000000036,Good,28.42
31,playing_basketball_dMH0bHeiRNg_012.mp4,playing,0.5336,0.5569,0.40000000000000036,Good,28.42
32,cooking_9bZkp7q19f0_003.mp4,cooking,0.5348,0.5015,-0.77,Good,27.02
33,cooking_9bZkp7q19f0_034.mp4,cooking,0.5348,0.5015,-0.77,Good,27.02
34,cooking_9bZkp7q19f0_032.mp4,cooking,0.5348,0.5015,-0.77,Good,27.02
35,cooking_9bZkp7q19f0_023.mp4,cooking,0.5348,0.5015,-0.77,Good,27.02
36,reading_dgKGixi8bp8_002.mp4,reading,0.5501,0.4836,-3.97,Good,26.12
37,reading_dgKGixi8bp8_037.mp4,reading,0.5501,0.4836,-3.97,Good,26.12
38,weightlifting_wCF3ywukQYA_016.mp4,weightlifting,0.5696,0.4995,-1.2600000000000002,Good,27.42
39,weightlifting_wCF3ywukQYA_019.mp4,weightlifting,0.5696,0.4995,-1.2600000000000002,Good,27.42
40,boxing_NLu0uhx_r5g_043.mp4,boxing,0.5803,0.6993,-2.95,Good,26.41
41,boxing_NLu0uhx_r5g_038.mp4,boxing,0.5803,0.6993,-2.95,Good,26.41
42,dancing_kJQP7kiw5Fk_041.mp4,dancing,0.5977,0.5356,2.34,Good,27.41
43,dancing_kJQP7kiw5Fk_026.mp4,dancing,0.5977,0.5356,2.34,Good,27.41
44,dancing_kJQP7kiw5Fk_039.mp4,dancing,0.5977,0.5356,2.34,Good,27.41
45,climbing_oHg5SJYRHA0_030.mp4,climbing,0.6472,0.4867,-1.73,Weak,26.78
46,climbing_oHg5SJYRHA0_009.mp4,climbing,0.6472,0.4867,-1.73,Weak,26.78
47,playing_piano_dQw4w9WgXcQ_020.mp4,playing,0.7034,0.4739,0.3200000000000003,Failed,26.94
48,playing_piano_dQw4w9WgXcQ_045.mp4,playing,0.7034,0.4739,0.3200000000000003,Failed,26.94
49,playing_piano_dQw4w9WgXcQ_008.mp4,playing,0.7034,0.4739,0.3200000000000003,Failed,26.94
50,playing_piano_dQw4w9WgXcQ_006.mp4,playing,0.7034,0.4739,0.3200000000000003,Failed,26.94
51,painting_BRBcjsOt0_g_044.mp4,painting,0.7049,0.6691,-3.91,Failed,28.34
52,painting_BRBcjsOt0_g_009.mp4,painting,0.7049,0.6691,-3.91,Failed,28.34
53,painting_BRBcjsOt0_g_003.mp4,painting,0.7049,0.6691,-3.91,Failed,28.34
54,yoga_EwTZ2xpQwpA_022.mp4,yoga,0.8363,0.6172,0.6400000000000006,Failed,28.16
55,yoga_EwTZ2xpQwpA_024.mp4,yoga,0.8363,0.6172,0.6400000000000006,Failed,28.16
56,skateboarding__OBlgSz8sSM_001.mp4,skateboarding,0.9617,0.5441,1.7199999999999998,Failed,27.22
57,skateboarding__OBlgSz8sSM_015.mp4,skateboarding,0.9617,0.5441,1.7199999999999998,Failed,27.22
